[2026-06-17T17:36:16.751Z] Path: /api/chat | Error: {"error":"Unknown column 'reactions' in 'field list'"}
[2026-06-18T07:03:04.054Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:04.616Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:05.619Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:07.628Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:08.771Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:08.856Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:16.321Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:04:40.405Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:04:40.446Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:04:40.476Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:04:40.486Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:04:40.520Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:04:40.530Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.628Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.637Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.638Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.644Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.648Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.653Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:05:14.691Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
